id,policy,seed,success,steps,coverage,density,unique_visited,targets_found,efficiency,turns,collisions,revisits,max_cell_visits,avg_visits_per_cell,avg_info_gain,turn_rate,collision_rate,max_steps_without_new_info
15c9ace4-ae3d-40b7-b0d1-8c400c17bf53,frontier,96673,True,347,16.05,78.14,338,1,0.974,80,0,0,0,0,0,0,0,0
6aa7497b-cfaa-4097-9280-05f7917342e2,globalutilityfrontierexploration,70021,True,774,22.4,78.03,629,1,0.813,198,0,0,0,0,0,0,0,0
04df5f41-d10c-46de-8b41-ed24ceb10d2e,frontier,70021,True,579,22.73,78.03,522,1,0.902,150,0,0,0,0,0,0,0,0
175084e4-face-4b34-8c57-1480c11abc11,globalutilityfrontierexploration,37552,True,196,8.89,77.23,187,1,0.954,44,0,0,0,0,0,0,0,0
4cdba83e-d828-41a7-8dfb-c5d6da079a8b,frontier,37552,True,300,11.99,77.23,289,1,0.963,69,0,0,0,0,0,0,0,0
b11281e9-f766-4f6d-821c-a5fdbda83196,globalutilityfrontierexploration,2079,True,195,7.84,78.35,186,1,0.954,58,0,0,0,0,0,0,0,0
39dc9a9c-208c-4c75-be2b-44a800980d8e,frontier,2079,True,906,33.04,78.35,815,1,0.9,222,0,0,0,0,0,0,0,0
aa964345-0f90-442a-b113-1227f3297fba,globalutilityfrontierexploration,25277,True,493,21.04,78.87,439,1,0.89,136,0,0,0,0,0,0,0,0
758da0ae-9e9d-4ba7-9c2e-b5b27a447349,frontier,25277,True,341,12.75,78.87,321,1,0.941,71,0,0,0,0,0,0,0,0
7f3ce143-8c6b-428e-9d02-2b7cfdf4c50e,globalutilityfrontierexploration,81732,True,364,12.88,78.26,315,1,0.865,91,0,0,0,0,0,0,0,0
4c19368f-a144-42eb-a69a-ccd9003ae230,frontier,81732,True,775,28.86,78.26,726,1,0.937,189,0,0,0,0,0,0,0,0
6ea0b374-9b72-49b4-801f-71ae240c51ef,globalutilityfrontierexploration,9648,True,553,19.05,78.43,466,1,0.843,160,0,0,0,0,0,0,0,0
75308d3d-a1f8-4320-9e48-ef78c71f6c0d,frontier,9648,True,358,12.85,78.43,341,1,0.953,76,0,0,0,0,0,0,0,0
06f7dcd5-4efb-4bbf-972e-baab494e06d2,globalutilityfrontierexploration,10470,True,810,31.2,77.65,748,1,0.923,210,0,0,0,0,0,0,0,0
c9ebbe32-b66c-4cef-9f73-6f0429bd3296,frontier,10470,True,823,32.63,77.65,759,1,0.922,192,0,0,0,0,0,0,0,0
031dffa1-27cc-4882-8def-051b56456cd7,globalutilityfrontierexploration,44575,True,739,27.64,76.8,659,1,0.892,174,0,0,0,0,0,0,0,0
6ec816f3-bdd2-4440-a5f6-322c872e98d3,frontier,44575,True,437,17.54,76.8,413,1,0.945,102,0,0,0,0,0,0,0,0
99964c33-1e3b-4e44-a7b2-a96493b23b02,globalutilityfrontierexploration,75902,True,588,20.81,79.48,505,1,0.859,150,0,0,0,0,0,0,0,0
118705d1-21e2-48fd-9466-4f4d3d88e29b,frontier,75902,True,568,21.81,79.48,528,1,0.93,132,0,0,0,0,0,0,0,0
058eb5e8-31c1-423d-880e-c911ba8b715e,globalutilityfrontierexploration,31591,True,74,3.79,78.41,69,1,0.932,25,0,0,0,0,0,0,0,0
ad169a7b-843b-46ff-a7ea-fc367e60f5ec,frontier,31591,True,674,26.59,78.41,632,1,0.938,152,0,0,0,0,0,0,0,0
43914911-6705-4e33-914f-3f84caf89d73,globalutilityfrontierexploration,66663,True,193,6.99,77.86,167,1,0.865,53,0,0,0,0,0,0,0,0
0976b8bd-e743-4d18-9f53-733d8132d708,frontier,66663,True,354,14.81,77.86,334,1,0.944,97,0,0,0,0,0,0,0,0
8a8ed573-b986-4032-b944-24b6fce44503,globalutilityfrontierexploration,84784,True,363,13.05,78.86,298,1,0.821,78,0,0,0,0,0,0,0,0
977bd771-921e-4c6a-9beb-0c569a7d210f,frontier,84784,True,488,18.72,78.86,460,1,0.943,102,0,0,0,0,0,0,0,0
2b0a9aca-192c-4275-9eff-c9ce23430ac2,globalutilityfrontierexploration,75789,True,310,12.64,78.3,293,1,0.945,80,0,0,0,0,0,0,0,0
264679ad-1373-486a-9952-0db12a4fcb26,frontier,75789,True,941,32.22,78.3,824,1,0.876,234,0,0,0,0,0,0,0,0
c13d4aad-ef6a-4c15-a76b-9b6c93d9283d,globalutilityfrontierexploration,63787,False,1000,24.76,76.96,752,0,0.752,223,0,0,0,0,0,0,0,0
535f1ced-67cb-45a6-8cae-d2a4eb2152e0,frontier,63787,False,1000,32.33,76.96,883,0,0.883,222,0,0,0,0,0,0,0,0
83c5af1b-05bd-4eab-96ed-15edafd3a8c4,globalutilityfrontierexploration,97511,False,1000,29.67,78.81,786,0,0.786,230,0,0,0,0,0,0,0,0
438e4557-3a88-4a17-b8cc-c609dc9b11fd,frontier,97511,True,619,22.9,78.81,558,1,0.901,156,0,0,0,0,0,0,0,0
e34b7c0d-e30e-4c55-aaca-4395ab6aff38,globalutilityfrontierexploration,61292,True,445,15.87,78.4,401,1,0.901,106,0,0,0,0,0,0,0,0
301fea10-8777-4409-9006-c258f8804c24,frontier,61292,True,871,30.48,78.4,779,1,0.894,203,0,0,0,0,0,0,0,0
51212851-9939-441a-8301-4b0b5a2757fe,globalutilityfrontierexploration,23518,True,168,6.32,78.77,129,1,0.768,40,0,0,0,0,0,0,0,0
a5af774f-3ba4-40ba-899b-51753fe0feee,frontier,23518,True,854,30.17,78.77,745,1,0.872,186,0,0,0,0,0,0,0,0
